渔船ID,坐标X,坐标Y,速度,方向,时间,作业类型,海域
浙渔3151,364.65,333.16,3.9,3,2025-06-18 20:00:00,拖网,黄海中部
浙渔3151,364.79,333.24,5.9,99,2025-06-18 20:00:00,拖网,黄海中部
浙渔3151,363.28,334.97,2.8,276,2025-06-18 20:00:00,拖网,黄海中部
浙渔3151,360.43,333.55,2.2,271,2025-06-18 20:00:00,拖网,黄海中部
粤渔9891,556.7,319.02,7.0,318,2025-06-10 03:55:00,流刺网,舟山群岛
粤渔9891,556.34,318.38,8.5,343,2025-06-10 04:31:00,流刺网,舟山群岛
粤渔9891,555.92,320.7,4.6,105,2025-06-10 04:55:00,流刺网,舟山群岛
粤渔9891,553.49,320.98,9.2,129,2025-06-10 05:34:00,流刺网,舟山群岛
粤渔9891,555.13,321.43,6.7,102,2025-06-10 05:59:00,流刺网,舟山群岛
粤渔9891,555.05,323.0,6.3,11,2025-06-10 06:32:00,流刺网,舟山群岛
粤渔9891,556.97,321.31,4.1,230,2025-06-10 07:04:00,流刺网,舟山群岛
粤渔9891,555.86,322.72,7.8,104,2025-06-10 07:29:00,流刺网,舟山群岛
粤渔9891,557.54,325.21,9.1,76,2025-06-10 08:01:00,流刺网,舟山群岛
粤渔9891,556.57,326.1,4.1,114,2025-06-10 08:28:00,流刺网,舟山群岛
粤渔9891,557.45,323.14,9.9,18,2025-06-10 09:05:00,流刺网,舟山群岛
粤渔9891,558.65,325.78,9.7,153,2025-06-10 09:28:00,流刺网,舟山群岛
粤渔9891,557.57,326.27,8.4,326,2025-06-10 09:56:00,流刺网,舟山群岛
粤渔9891,557.19,328.26,9.4,335,2025-06-10 10:25:00,流刺网,舟山群岛
粤渔9891,560.18,329.19,8.7,299,2025-06-10 11:02:00,流刺网,舟山群岛
粤渔9891,558.78,329.59,7.7,273,2025-06-10 11:30:00,流刺网,舟山群岛
粤渔9891,561.05,327.45,6.5,305,2025-06-10 12:04:00,流刺网,舟山群岛
粤渔9891,561.21,326.51,5.3,20,2025-06-10 12:34:00,流刺网,舟山群岛
粤渔9891,559.21,328.8,4.5,248,2025-06-10 13:03:00,流刺网,舟山群岛
粤渔9891,561.95,327.27,8.9,353,2025-06-10 13:25:00,流刺网,舟山群岛
粤渔9891,564.52,328.23,7.4,95,2025-06-10 14:00:00,流刺网,舟山群岛
粤渔9891,564.41,330.08,5.4,322,2025-06-10 14:28:00,流刺网,舟山群岛
粤渔9891,564.88,329.68,8.4,83,2025-06-10 14:57:00,流刺网,舟山群岛
粤渔9891,563.62,330.27,4.7,18,2025-06-10 15:35:00,流刺网,舟山群岛
粤渔9891,562.55,328.24,10.0,63,2025-06-10 15:56:00,流刺网,舟山群岛
粤渔9891,563.87,326.42,4.5,294,2025-06-10 16:32:00,流刺网,舟山群岛
粤渔9891,562.75,327.04,38.4,158,2025-06-10 17:05:00,流刺网,舟山群岛
粤渔9891,562.63,327.57,6.5,163,2025-06-10 17:34:00,流刺网,舟山群岛
粤渔9891,559.69,330.21,7.4,40,2025-06-10 18:05:00,流刺网,舟山群岛
粤渔9891,561.34,330.43,6.0,346,2025-06-10 18:31:00,流刺网,舟山群岛
粤渔9891,561.9,329.2,4.4,146,2025-06-10 19:03:00,流刺网,舟山群岛
粤渔9891,559.58,330.67,4.9,87,2025-06-10 19:32:00,流刺网,舟山群岛
粤渔9891,558.03,329.8,6.1,107,2025-06-10 20:00:00,流刺网,舟山群岛
粤渔9891,555.41,331.58,4.8,324,2025-06-10 20:00:00,流刺网,舟山群岛
粤渔9891,553.87,332.34,6.8,211,2025-06-10 20:00:00,流刺网,舟山群岛
粤渔9891,552.67,330.74,6.9,98,2025-06-10 20:00:00,流刺网,舟山群岛
粤渔9891,553.2,330.26,4.1,62,2025-06-10 20:00:00,流刺网,舟山群岛
粤渔9891,555.23,331.74,5.4,195,2025-06-10 20:00:00,流刺网,舟山群岛
粤渔9891,555.53,330.65,27.5,256,2025-06-10 20:00:00,流刺网,舟山群岛
粤渔9891,554.42,330.1,4.4,334,2025-06-10 20:00:00,流刺网,舟山群岛
粤渔9891,553.69,331.37,6.5,52,2025-06-10 20:00:00,流刺网,舟山群岛
粤渔9891,554.34,329.91,5.4,216,2025-06-10 20:00:00,流刺网,舟山群岛
粤渔9891,556.77,329.33,8.3,299,2025-06-10 20:00:00,流刺网,舟山群岛
粤渔9891,558.93,331.07,5.9,49,2025-06-10 20:00:00,流刺网,舟山群岛
粤渔9891,561.36,331.95,9.1,32,2025-06-10 20:00:00,流刺网,舟山群岛
粤渔9891,558.59,333.32,9.9,334,2025-06-10 20:00:00,流刺网,舟山群岛
粤渔9891,561.27,335.18,8.3,331,2025-06-10 20:00:00,流刺网,舟山群岛
粤渔9891,559.16,334.58,6.2,356,2025-06-10 20:00:00,流刺网,舟山群岛
粤渔9891,561.14,336.74,8.4,252,2025-06-10 20:00:00,流刺网,舟山群岛
粤渔9891,560.1,337.09,5.2,115,2025-06-10 20:00:00,流刺网,舟山群岛
苏渔4987,488.63,170.27,5.2,71,2025-06-08 03:58:00,拖网,东海近海
苏渔4987,488.69,169.54,4.4,1,2025-06-08 04:25:00,拖网,东海近海
苏渔4987,486.46,167.44,5.7,9,2025-06-08 05:04:00,拖网,东海近海
苏渔4987,487.11,166.52,2.3,277,2025-06-08 05:28:00,拖网,东海近海
苏渔4987,488.28,163.64,5.5,134,2025-06-08 05:56:00,拖网,东海近海
苏渔4987,486.96,164.6,2.9,233,2025-06-08 06:30:00,拖网,东海近海
苏渔4987,487.47,163.59,2.8,119,2025-06-08 06:55:00,拖网,东海近海
苏渔4987,487.89,165.14,4.1,312,2025-06-08 07:29:00,拖网,东海近海
苏渔4987,487.8,163.08,4.4,115,2025-06-08 08:02:00,拖网,东海近海
苏渔4987,488.49,165.85,2.9,47,2025-06-08 08:27:00,拖网,东海近海
苏渔4987,490.74,164.23,4.1,96,2025-06-08 08:57:00,拖网,东海近海
苏渔4987,490.93,162.21,2.3,68,2025-06-08 09:33:00,拖网,东海近海
苏渔4987,491.47,161.01,4.8,108,2025-06-08 09:56:00,拖网,东海近海
苏渔4987,489.51,162.72,3.2,35,2025-06-08 10:34:00,拖网,东海近海
苏渔4987,491.22,160.42,6.0,171,2025-06-08 11:01:00,拖网,东海近海
苏渔4987,491.96,162.06,2.2,235,2025-06-08 11:34:00,拖网,东海近海
苏渔4987,491.24,161.94,2.0,206,2025-06-08 12:00:00,拖网,东海近海
苏渔4987,491.88,164.46,5.1,261,2025-06-08 12:25:00,拖网,东海近海
苏渔4987,490.2,167.45,4.2,199,2025-06-08 12:59:00,拖网,东海近海
苏渔4987,489.13,166.68,2.7,5,2025-06-08 13:28:00,拖网,东海近海
苏渔4987,491.53,168.2,3.2,103,2025-06-08 13:59:00,拖网,东海近海
苏渔4987,493.41,166.37,36.2,324,2025-06-08 14:35:00,拖网,东海近海
苏渔4987,492.05,165.58,4.4,3,2025-06-08 14:58:00,拖网,东海近海
苏渔4987,490.0,165.34,2.5,263,2025-06-08 15:26:00,拖网,东海近海
苏渔4987,489.25,162.99,4.5,75,2025-06-08 15:58:00,拖网,东海近海
苏渔4987,488.48,163.05,4.1,225,2025-06-08 16:30:00,拖网,东海近海
苏渔4987,491.3,161.98,2.3,217,2025-06-08 17:01:00,拖网,东海近海
苏渔4987,491.71,160.02,3.9,61,2025-06-08 17:26:00,拖网,东海近海
苏渔4987,488.75,159.83,5.7,143,2025-06-08 17:56:00,拖网,东海近海
苏渔4987,490.86,161.64,2.3,275,2025-06-08 18:34:00,拖网,东海近海
苏渔4987,490.28,161.5,3.6,131,2025-06-08 19:02:00,拖网,东海近海
苏渔4987,488.15,161.11,5.2,99,2025-06-08 19:34:00,拖网,东海近海
苏渔4987,488.17,163.63,4.4,283,2025-06-08 19:58:00,拖网,东海近海
苏渔4987,487.21,166.41,25.8,77,2025-06-08 20:00:00,拖网,东海近海
苏渔4987,487.37,168.17,4.6,33,2025-06-08 20:00:00,拖网,东海近海
苏渔4987,487.18,168.1,3.1,214,2025-06-08 20:00:00,拖网,东海近海
苏渔4987,488.13,165.46,4.0,155,2025-06-08 20:00:00,拖网,东海近海
苏渔4987,489.77,165.13,2.6,313,2025-06-08 20:00:00,拖网,东海近海
苏渔4987,490.54,162.94,3.2,155,2025-06-08 20:00:00,拖网,东海近海
苏渔4987,490.85,165.07,2.0,293,2025-06-08 20:00:00,拖网,东海近海
苏渔4987,489.54,165.89,2.4,264,2025-06-08 20:00:00,拖网,东海近海
苏渔4987,488.15,166.92,5.5,17,2025-06-08 20:00:00,拖网,东海近海
苏渔4987,487.82,169.07,4.2,320,2025-06-08 20:00:00,拖网,东海近海
苏渔4987,486.68,169.68,3.6,187,2025-06-08 20:00:00,拖网,东海近海
苏渔4987,486.91,168.98,2.8,126,2025-06-08 20:00:00,拖网,东海近海
苏渔4987,487.32,171.53,2.1,109,2025-06-08 20:00:00,拖网,东海近海
苏渔4987,490.04,171.44,5.3,229,2025-06-08 20:00:00,拖网,东海近海
苏渔4987,491.3,170.08,5.9,251,2025-06-08 20:00:00,拖网,东海近海
苏渔4987,489.85,173.0,4.6,286,2025-06-08 20:00:00,拖网,东海近海
苏渔4987,491.21,172.19,6.0,348,2025-06-08 20:00:00,拖网,东海近海
苏渔5397,577.43,217.53,8.3,349,2025-06-02 04:00:00,围网,东海近海
苏渔5397,579.96,218.7,9.6,86,2025-06-02 04:32:00,围网,东海近海
苏渔5397,578.9,217.32,11.2,203,2025-06-02 04:57:00,围网,东海近海
苏渔5397,576.43,218.77,8.8,90,2025-06-02 05:27:00,围网,东海近海
苏渔5397,575.88,221.17,13.8,175,2025-06-02 06:03:00,围网,东海近海
苏渔5397,572.97,224.13,9.0,125,2025-06-02 06:30:00,围网,东海近海
苏渔5397,575.41,224.56,11.0,344,2025-06-02 07:03:00,围网,东海近海
苏渔5397,573.81,224.97,8.3,257,2025-06-02 07:35:00,围网,东海近海
苏渔5397,575.04,227.3,12.5,104,2025-06-02 08:04:00,围网,东海近海
苏渔5397,577.78,228.77,9.1,126,2025-06-02 08:30:00,围网,东海近海
苏渔5397,575.66,227.81,11.5,307,2025-06-02 09:01:00,围网,东海近海
苏渔5397,575.98,228.36,14.1,352,2025-06-02 09:25:00,围网,东海近海
苏渔5397,575.46,225.68,10.8,35,2025-06-02 09:58:00,围网,东海近海
苏渔5397,572.46,225.25,12.9,318,2025-06-02 10:29:00,围网,东海近海
苏渔5397,573.06,225.23,10.1,85,2025-06-02 10:57:00,围网,东海近海
苏渔5397,573.59,226.55,8.5,136,2025-06-02 11:27:00,围网,东海近海
苏渔5397,572.01,229.27,11.0,4,2025-06-02 11:56:00,围网,东海近海
苏渔5397,570.58,228.81,8.2,303,2025-06-02 12:29:00,围网,东海近海
苏渔5397,567.98,228.49,8.3,243,2025-06-02 12:56:00,围网,东海近海
苏渔5397,566.31,228.3,11.7,175,2025-06-02 13:28:00,围网,东海近海
苏渔5397,563.49,225.95,8.3,26,2025-06-02 14:04:00,围网,东海近海
苏渔5397,561.34,226.36,9.9,111,2025-06-02 14:35:00,围网,东海近海
苏渔5397,559.66,226.54,8.6,142,2025-06-02 15:01:00,围网,东海近海
苏渔5397,557.91,225.23,9.6,143,2025-06-02 15:35:00,围网,东海近海
苏渔5397,556.34,225.28,9.3,39,2025-06-02 16:03:00,围网,东海近海
苏渔5397,555.82,227.41,10.9,209,2025-06-02 16:26:00,围网,东海近海
苏渔5397,554.24,229.43,12.2,84,2025-06-02 17:05:00,围网,东海近海
苏渔5397,553.22,231.66,10.1,74,2025-06-02 17:29:00,围网,东海近海
苏渔5397,554.38,234.45,12.1,173,2025-06-02 18:03:00,围网,东海近海
苏渔5397,552.17,237.29,13.8,350,2025-06-02 18:26:00,围网,东海近海
苏渔5397,554.35,239.6,11.6,51,2025-06-02 19:04:00,围网,东海近海
苏渔5397,551.39,241.94,12.3,55,2025-06-02 19:31:00,围网,东海近海
苏渔5397,553.67,242.24,9.1,14,2025-06-02 20:00:00,围网,东海近海
苏渔5397,553.37,242.66,13.3,87,2025-06-02 20:00:00,围网,东海近海
苏渔5397,554.09,241.95,11.8,133,2025-06-02 20:00:00,围网,东海近海
苏渔5397,556.71,244.12,8.5,58,2025-06-02 20:00:00,围网,东海近海
苏渔5397,558.96,245.28,10.1,297,2025-06-02 20:00:00,围网,东海近海
苏渔5397,556.35,247.86,12.1,135,2025-06-02 20:00:00,围网,东海近海
苏渔5397,553.64,248.2,9.7,180,2025-06-02 20:00:00,围网,东海近海
苏渔5397,552.6,251.07,14.4,352,2025-06-02 20:00:00,围网,东海近海
苏渔5397,553.74,251.3,8.6,127,2025-06-02 20:00:00,围网,东海近海
苏渔5397,555.79,248.47,9.8,211,2025-06-02 20:00:00,围网,东海近海
苏渔5397,558.31,249.3,10.8,128,2025-06-02 20:00:00,围网,东海近海
苏渔5397,556.63,246.53,13.2,59,2025-06-02 20:00:00,围网,东海近海
苏渔5397,558.53,247.9,8.4,194,2025-06-02 20:00:00,围网,东海近海
苏渔5397,557.26,249.68,13.1,264,2025-06-02 20:00:00,围网,东海近海
苏渔5397,555.59,251.98,11.4,338,2025-06-02 20:00:00,围网,东海近海
苏渔5397,552.77,251.26,9.2,210,2025-06-02 20:00:00,围网,东海近海
苏渔5397,555.24,254.09,8.9,73,2025-06-02 20:00:00,围网,东海近海
苏渔5397,557.43,251.51,11.8,48,2025-06-02 20:00:00,围网,东海近海
鲁渔9399,366.55,238.32,8.2,244,2025-06-01 04:05:00,围网,黄海中部
鲁渔9399,367.13,239.53,10.2,249,2025-06-01 04:32:00,围网,黄海中部
鲁渔9399,364.4,237.73,13.7,242,2025-06-01 05:04:00,围网,黄海中部
鲁渔9399,364.09,238.79,13.7,183,2025-06-01 05:32:00,围网,黄海中部
鲁渔9399,,,13.1,170,2025-06-01 05:59:00,围网,黄海中部
鲁渔9399,362.8,239.36,12.9,60,2025-06-01 06:25:00,围网,黄海中部
鲁渔9399,363.94,238.55,8.9,141,2025-06-01 06:59:00,围网,黄海中部
鲁渔9399,364.36,241.52,11.0,112,2025-06-01 07:27:00,围网,黄海中部
鲁渔9399,365.69,243.63,11.0,251,2025-06-01 07:58:00,围网,黄海中部
鲁渔9399,368.59,244.4,14.3,114,2025-06-01 08:25:00,围网,黄海中部
鲁渔9399,366.35,244.64,8.2,206,2025-06-01 09:03:00,围网,黄海中部
鲁渔9399,364.71,247.32,25.6,173,2025-06-01 09:31:00,围网,黄海中部
鲁渔9399,,,8.3,349,2025-06-01 09:58:00,围网,黄海中部
鲁渔9399,367.36,246.33,9.1,356,2025-06-01 10:31:00,围网,黄海中部
鲁渔9399,365.61,246.28,12.2,177,2025-06-01 11:00:00,围网,黄海中部
鲁渔9399,367.73,245.48,10.7,96,2025-06-01 11:27:00,围网,黄海中部
鲁渔9399,369.58,245.94,10.7,164,2025-06-01 12:01:00,围网,黄海中部
鲁渔9399,366.96,244.39,12.9,288,2025-06-01 12:35:00,围网,黄海中部
鲁渔9399,364.38,245.91,8.6,224,2025-06-01 12:56:00,围网,黄海中部
鲁渔9399,364.52,247.02,10.2,249,2025-06-01 13:31:00,围网,黄海中部
鲁渔9399,367.19,245.56,10.6,215,2025-06-01 13:55:00,围网,黄海中部
鲁渔9399,368.05,248.31,12.0,205,2025-06-01 14:35:00,围网,黄海中部
鲁渔9399,366.51,251.09,8.2,344,2025-06-01 14:55:00,围网,黄海中部
鲁渔9399,366.39,252.67,10.3,96,2025-06-01 15:25:00,围网,黄海中部
鲁渔9399,363.74,253.92,14.5,214,2025-06-01 16:04:00,围网,黄海中部
鲁渔9399,365.66,254.67,9.4,12,2025-06-01 16:35:00,围网,黄海中部
鲁渔9399,365.98,252.48,14.4,234,2025-06-01 16:59:00,围网,黄海中部
鲁渔9399,366.04,251.96,8.5,265,2025-06-01 17:34:00,围网,黄海中部
鲁渔9399,368.08,254.41,15.0,73,2025-06-01 18:00:00,围网,黄海中部
鲁渔9399,368.46,253.1,13.0,168,2025-06-01 18:31:00,围网,黄海中部
鲁渔9399,365.95,251.87,11.4,260,2025-06-01 19:00:00,围网,黄海中部
鲁渔9399,364.79,249.2,13.7,346,2025-06-01 19:25:00,围网,黄海中部
鲁渔9399,364.31,248.73,14.4,278,2025-06-01 19:58:00,围网,黄海中部
鲁渔9399,362.52,249.06,10.1,245,2025-06-01 20:00:00,围网,黄海中部
鲁渔9399,359.78,250.37,14.9,71,2025-06-01 20:00:00,围网,黄海中部
鲁渔9399,358.55,249.95,14.1,102,2025-06-01 20:00:00,围网,黄海中部
鲁渔9399,361.06,251.57,9.9,23,2025-06-01 20:00:00,围网,黄海中部
鲁渔9399,358.38,250.42,14.0,73,2025-06-01 20:00:00,围网,黄海中部
鲁渔9399,360.01,249.46,9.1,326,2025-06-01 20:00:00,围网,黄海中部
鲁渔9399,358.87,248.05,14.7,294,2025-06-01 20:00:00,围网,黄海中部
鲁渔9399,357.51,247.98,8.5,244,2025-06-01 20:00:00,围网,黄海中部
鲁渔9399,359.91,250.7,14.4,175,2025-06-01 20:00:00,围网,黄海中部
鲁渔9399,359.04,252.01,29.8,286,2025-06-01 20:00:00,围网,黄海中部
鲁渔9399,356.1,249.05,11.6,51,2025-06-01 20:00:00,围网,黄海中部
鲁渔9399,358.07,251.0,12.5,20,2025-06-01 20:00:00,围网,黄海中部
鲁渔9399,356.09,250.37,11.8,15,2025-06-01 20:00:00,围网,黄海中部
鲁渔9399,354.86,252.9,8.9,70,2025-06-01 20:00:00,围网,黄海中部
鲁渔9399,352.15,254.85,9.7,174,2025-06-01 20:00:00,围网,黄海中部
鲁渔9399,351.34,255.01,9.1,236,2025-06-01 20:00:00,围网,黄海中部
鲁渔9399,353.01,252.73,13.1,211,2025-06-01 20:00:00,围网,黄海中部
鲁渔4753,435.04,151.91,4.7,215,2025-06-29 04:05:00,流刺网,南海北部
鲁渔4753,432.97,148.98,4.6,183,2025-06-29 04:29:00,流刺网,南海北部
鲁渔4753,432.75,146.75,7.2,43,2025-06-29 05:05:00,流刺网,南海北部
鲁渔4753,432.51,144.18,8.3,12,2025-06-29 05:34:00,流刺网,南海北部
鲁渔4753,432.33,146.54,6.4,308,2025-06-29 06:01:00,流刺网,南海北部
鲁渔4753,432.25,148.61,7.2,334,2025-06-29 06:33:00,流刺网,南海北部
鲁渔4753,433.14,149.91,6.6,198,2025-06-29 07:01:00,流刺网,南海北部
鲁渔4753,435.79,152.21,4.1,10,2025-06-29 07:34:00,流刺网,南海北部
鲁渔4753,435.99,152.28,9.9,348,2025-06-29 07:59:00,流刺网,南海北部
鲁渔4753,434.85,152.41,4.4,359,2025-06-29 08:26:00,流刺网,南海北部
鲁渔4753,431.9,154.95,9.1,262,2025-06-29 09:00:00,流刺网,南海北部
鲁渔4753,429.48,156.4,9.2,172,2025-06-29 09:27:00,流刺网,南海北部
鲁渔4753,429.98,158.86,8.4,206,2025-06-29 10:04:00,流刺网,南海北部
鲁渔4753,431.19,156.39,4.6,41,2025-06-29 10:25:00,流刺网,南海北部
鲁渔4753,430.95,157.03,5.7,113,2025-06-29 11:01:00,流刺网,南海北部
鲁渔4753,430.46,158.37,4.4,125,2025-06-29 11:31:00,流刺网,南海北部
鲁渔4753,429.95,156.9,7.3,264,2025-06-29 12:01:00,流刺网,南海北部
鲁渔4753,427.85,155.67,5.4,39,2025-06-29 12:25:00,流刺网,南海北部
鲁渔4753,427.04,157.05,6.6,178,2025-06-29 12:59:00,流刺网,南海北部
鲁渔4753,425.94,154.2,8.0,210,2025-06-29 13:32:00,流刺网,南海北部
鲁渔4753,424.25,151.77,4.0,346,2025-06-29 13:56:00,流刺网,南海北部
鲁渔4753,427.15,154.57,4.8,349,2025-06-29 14:25:00,流刺网,南海北部
鲁渔4753,428.23,155.84,5.6,88,2025-06-29 14:59:00,流刺网,南海北部
鲁渔4753,430.62,156.84,6.3,241,2025-06-29 15:28:00,流刺网,南海北部
鲁渔4753,431.29,157.71,6.0,338,2025-06-29 15:58:00,流刺网,南海北部
鲁渔4753,432.53,159.19,7.7,359,2025-06-29 16:29:00,流刺网,南海北部
鲁渔4753,435.09,160.38,5.6,250,2025-06-29 16:57:00,流刺网,南海北部
鲁渔4753,436.35,158.26,9.0,42,2025-06-29 17:29:00,流刺网,南海北部
鲁渔4753,436.44,156.29,8.8,200,2025-06-29 18:04:00,流刺网,南海北部
鲁渔4753,433.58,155.34,8.6,153,2025-06-29 18:32:00,流刺网,南海北部
鲁渔4753,433.04,156.51,8.4,28,2025-06-29 18:57:00,流刺网,南海北部
鲁渔4753,434.03,156.35,4.3,89,2025-06-29 19:33:00,流刺网,南海北部
鲁渔4753,433.82,157.32,9.7,315,2025-06-29 19:58:00,流刺网,南海北部
鲁渔4753,434.66,157.76,9.2,242,2025-06-29 20:00:00,流刺网,南海北部
鲁渔4753,434.25,158.43,9.0,204,2025-06-29 20:00:00,流刺网,南海北部
鲁渔4753,435.27,158.47,7.3,286,2025-06-29 20:00:00,流刺网,南海北部
鲁渔4753,432.96,157.79,8.4,220,2025-06-29 20:00:00,流刺网,南海北部
鲁渔4753,432.38,160.18,4.9,305,2025-06-29 20:00:00,流刺网,南海北部
鲁渔4753,432.9,160.68,5.1,340,2025-06-29 20:00:00,流刺网,南海北部
鲁渔4753,434.84,159.94,9.6,345,2025-06-29 20:00:00,流刺网,南海北部
鲁渔4753,436.01,159.11,8.5,237,2025-06-29 20:00:00,流刺网,南海北部
鲁渔4753,435.19,160.23,27.2,338,2025-06-29 20:00:00,流刺网,南海北部
鲁渔4753,434.51,161.26,4.0,85,2025-06-29 20:00:00,流刺网,南海北部
鲁渔4753,435.54,158.31,4.8,352,2025-06-29 20:00:00,流刺网,南海北部
鲁渔4753,433.42,157.45,4.8,199,2025-06-29 20:00:00,流刺网,南海北部
鲁渔4753,435.98,156.82,7.5,129,2025-06-29 20:00:00,流刺网,南海北部
鲁渔4753,435.81,159.64,29.3,161,2025-06-29 20:00:00,流刺网,南海北部
鲁渔4753,432.98,161.29,6.2,199,2025-06-29 20:00:00,流刺网,南海北部
鲁渔4753,434.75,162.14,4.3,58,2025-06-29 20:00:00,流刺网,南海北部
鲁渔4753,435.11,160.92,5.4,221,2025-06-29 20:00:00,流刺网,南海北部
浙渔7610,292.56,331.85,7.1,306,2025-06-17 04:05:00,流刺网,黄海中部
浙渔7610,291.33,332.21,6.1,91,2025-06-17 04:30:00,流刺网,黄海中部
浙渔7610,292.68,331.54,5.3,140,2025-06-17 05:01:00,流刺网,黄海中部
浙渔7610,294.01,332.47,8.7,180,2025-06-17 05:30:00,流刺网,黄海中部
浙渔7610,292.25,333.33,7.2,167,2025-06-17 06:05:00,流刺网,黄海中部
浙渔7610,293.78,334.51,5.9,147,2025-06-17 06:34:00,流刺网,黄海中部
浙渔7610,294.79,333.13,6.9,268,2025-06-17 06:56:00,流刺网,黄海中部
浙渔7610,294.19,331.85,9.7,63,2025-06-17 07:31:00,流刺网,黄海中部
浙渔7610,296.67,328.97,4.6,258,2025-06-17 08:02:00,流刺网,黄海中部
浙渔7610,294.45,328.13,5.1,133,2025-06-17 08:29:00,流刺网,黄海中部
浙渔7610,294.96,326.39,7.0,101,2025-06-17 08:55:00,流刺网,黄海中部
浙渔7610,296.59,324.3,4.7,223,2025-06-17 09:25:00,流刺网,黄海中部
浙渔7610,298.26,324.76,9.4,353,2025-06-17 10:00:00,流刺网,黄海中部
浙渔7610,297.83,323.67,4.6,300,2025-06-17 10:27:00,流刺网,黄海中部
浙渔7610,298.02,325.4,7.5,80,2025-06-17 10:58:00,流刺网,黄海中部
浙渔7610,295.05,323.53,6.5,165,2025-06-17 11:30:00,流刺网,黄海中部
浙渔7610,296.9,321.69,4.9,189,2025-06-17 11:56:00,流刺网,黄海中部
浙渔7610,297.79,321.18,7.9,320,2025-06-17 12:27:00,流刺网,黄海中部
浙渔7610,296.46,323.53,4.7,87,2025-06-17 12:58:00,流刺网,黄海中部
浙渔7610,295.17,325.33,8.0,127,2025-06-17 13:31:00,流刺网,黄海中部
浙渔7610,294.64,323.83,4.3,115,2025-06-17 14:00:00,流刺网,黄海中部
浙渔7610,296.07,325.59,6.7,316,2025-06-17 14:27:00,流刺网,黄海中部
浙渔7610,294.69,324.34,5.0,52,2025-06-17 15:04:00,流刺网,黄海中部
浙渔7610,297.67,326.33,9.3,95,2025-06-17 15:32:00,流刺网,黄海中部
浙渔7610,298.9,325.33,9.9,181,2025-06-17 16:02:00,流刺网,黄海中部
浙渔7610,295.99,325.31,6.6,245,2025-06-17 16:30:00,流刺网,黄海中部
浙渔7610,294.82,327.78,9.5,162,2025-06-17 17:02:00,流刺网,黄海中部
浙渔7610,294.42,327.5,9.7,156,2025-06-17 17:28:00,流刺网,黄海中部
浙渔7610,292.8,327.66,6.6,133,2025-06-17 17:56:00,流刺网,黄海中部
浙渔7610,291.96,326.89,7.3,100,2025-06-17 18:29:00,流刺网,黄海中部
浙渔7610,290.36,327.69,4.2,239,2025-06-17 19:04:00,流刺网,黄海中部
浙渔7610,287.61,328.19,6.3,318,2025-06-17 19:29:00,流刺网,黄海中部
浙渔7610,290.08,327.28,7.6,235,2025-06-17 20:00:00,流刺网,黄海中部
浙渔7610,288.73,328.74,4.6,240,2025-06-17 20:00:00,流刺网,黄海中部
浙渔7610,286.45,330.63,9.8,331,2025-06-17 20:00:00,流刺网,黄海中部
浙渔7610,286.96,330.15,8.8,328,2025-06-17 20:00:00,流刺网,黄海中部
浙渔7610,284.43,328.38,9.9,91,2025-06-17 20:00:00,流刺网,黄海中部
浙渔7610,287.4,328.9,5.5,69,2025-06-17 20:00:00,流刺网,黄海中部
浙渔7610,288.0,329.5,6.1,38,2025-06-17 20:00:00,流刺网,黄海中部
浙渔7610,290.78,328.85,7.2,223,2025-06-17 20:00:00,流刺网,黄海中部
浙渔7610,291.44,331.16,6.0,196,2025-06-17 20:00:00,流刺网,黄海中部
浙渔7610,291.66,330.35,5.9,193,2025-06-17 20:00:00,流刺网,黄海中部
浙渔7610,289.56,332.23,5.1,70,2025-06-17 20:00:00,流刺网,黄海中部
浙渔7610,289.29,334.71,4.5,115,2025-06-17 20:00:00,流刺网,黄海中部
浙渔7610,288.8,337.06,7.8,16,2025-06-17 20:00:00,流刺网,黄海中部
浙渔7610,287.71,337.76,10.0,211,2025-06-17 20:00:00,流刺网,黄海中部
浙渔7610,289.72,338.86,8.3,34,2025-06-17 20:00:00,流刺网,黄海中部
浙渔7610,289.45,341.04,5.6,304,2025-06-17 20:00:00,流刺网,黄海中部
浙渔7610,291.39,343.38,9.6,150,2025-06-17 20:00:00,流刺网,黄海中部
浙渔7610,291.9,345.67,7.5,210,2025-06-17 20:00:00,流刺网,黄海中部
浙渔5991,511.94,175.64,3.7,140,2025-06-25 04:01:00,拖网,东海近海
浙渔5991,513.63,174.76,3.3,344,2025-06-25 04:32:00,拖网,东海近海
浙渔5991,511.81,174.82,3.9,187,2025-06-25 05:03:00,拖网,东海近海
浙渔5991,510.63,174.94,5.3,48,2025-06-25 05:32:00,拖网,东海近海
浙渔5991,511.22,173.69,3.2,22,2025-06-25 05:59:00,拖网,东海近海
浙渔5991,508.83,174.02,4.1,49,2025-06-25 06:35:00,拖网,东海近海
浙渔5991,510.8,174.12,3.2,170,2025-06-25 07:05:00,拖网,东海近海
浙渔5991,,,4.1,213,2025-06-25 07:31:00,拖网,东海近海
浙渔5991,511.52,171.19,4.8,215,2025-06-25 07:57:00,拖网,东海近海
浙渔5991,513.21,173.85,3.6,273,2025-06-25 08:26:00,拖网,东海近海
浙渔5991,515.1,173.58,5.0,303,2025-06-25 08:58:00,拖网,东海近海
浙渔5991,513.34,172.33,4.0,3,2025-06-25 09:30:00,拖网,东海近海
